State,City,n_obs,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,Max_AQI
South Carolina,Not in a city,1603,4.686837180286962,37.26699937616968,4.841547099189021,1.5820336868371803,37.408608858390515
Pennsylvania,Philadelphia,5041,32.91450109105336,24.672683991271573,11.22138464590359,6.456245027844073,37.344177742511405
Virginia,East Highland Park,1494,16.997322623828648,36.51004016064257,2.1004016064257027,3.8514056224899598,37.294511378848725
Texas,Austin,543,12.482504604051565,36.97974217311234,1.0055248618784531,1.6740331491712708,37.149171270718234
North Carolina,Raleigh,795,13.945911949685534,36.71446540880503,0.7811320754716982,4.174842767295598,36.92327044025157
Ohio,Cleveland,1924,24.13981288981289,29.61902286902287,16.647349272349274,4.158004158004158,36.64475051975052
Illinois,Northbrook,2106,22.480294396961064,32.26377018043685,4.8428300094966765,3.550332383665717,36.63841405508072
Georgia,Not in a city,1931,24.13982392542724,34.488348006214395,1.7944070429829104,5.273056994818653,36.615743138270325
Texas,Waco,3112,7.3325835475578405,36.55944730077121,0.7416452442159382,1.49293059125964,36.6098971722365
Florida,Winter Park,5833,16.907766158066174,35.7251842962455,2.4450540030858905,6.303840877914952,36.55323161323504
California,Not in a city,6286,18.8967546929685,33.32946229716831,2.595609290486796,6.178258793569951,36.43079860006363
New Hampshire,Manchester,1820,16.79725274725275,34.497252747252745,9.47912087912088,5.851566794942276,36.427472527472524
Idaho,Not in a city,458,23.336244541484717,34.956331877729255,0.8231441048034934,2.8755458515283845,36.419213973799124
Arkansas,North Little Rock,3376,21.058649289099527,34.36315165876777,3.4112855450236967,6.0413210900473935,35.735189573459714
California,Vandenberg Air Force Base,5734,2.0469131496337636,35.498430415068015,1.358039762818277,1.598848368522073,35.50104638995466
South Dakota,Sioux Falls,1728,12.182291666666666,34.84375,0.6990740740740741,2.5368543238537433,35.29050925925926
Iowa,Des Moines,1880,15.64468085106383,34.5811170212766,0.09946808510638298,3.478191489361702,34.9218085106383
